id	updated_at	exported_at	created_at	license_numer	owner_name	business_name	business_num	street	city	zip	cancel	date_entry	business_type
111	2013-03-06 18:56:30	2013-03-07 15:23:53	2013-03-05	31389083	H & S Bleh, LLC	Avril-Bleh Marketplace and Deli	37	E COURT ST	CINCINNATI	45202	No	2013-02-25	Limited-Service Eating Places
112	2013-03-06 18:33:15	2013-03-07 15:23:53	2013-03-05	31389084	A & M Thrifty, LLC	Thrifty Food Mart	2022	WORTH AVE	CINCINNATI	45212	No	2013-02-25	Convenience Stores
113	2013-03-06 18:32:53	2013-03-07 15:23:53	2013-03-05	31389085	TODD R. THOMAS & BETTE J. THOMAS	VILLAGE FLORAL OF TERRACE PARK	702	INDIAN HILL RD	TERRACE PARK	45174	No	2013-02-25	Florists
114	2013-03-06 18:32:44	2013-03-07 15:23:56	2013-03-05	31389086	RECYCLE CINCINNATI LLC	RECYCLE CINCINNATI LLC	7426	MONTGOMERY RD	SILVERTON	45236	No	2013-02-25	Recyclable Materials
115	2013-03-06 18:32:36	2013-03-07 15:23:56	2013-03-05	31389087	DEJA MONIQUE ARMSTRONG	N/A	5661	FREDERICKSBURG CT	CINCINNATI	45227	No	2013-02-26	E-Shopping/Mail Order Houses
116	2013-03-06 18:32:03	2013-03-07 15:23:56	2013-03-05	31389088	CHIPOTLE MEXICAN GRILL OF COLORADO, LLC	CHIPOTLE MEXICAN GRILL #2027	2640	CREEKSIDE DR	TWINSBURG	44087	No	2013-02-26	Full-Service Restaurants/Cafeterias
117	2013-03-06 18:31:57	2013-03-07 15:23:57	2013-03-05	31389089	Jasraj Inc	Bombay Sitar Indian Restaurant	341	LUDLOW AVE	CINCINNATI	45220	No	2013-02-27	Full-Service Restaurants/Cafeterias
118	2013-03-06 18:31:40	2013-03-07 15:23:57	2013-03-05	31389090	BURLINGTON COAT FACTORY OF OHIO LLC	N/A	9501	COLERAIN AVE	CINCINNATI	45251	No	2013-02-27	Family Clothing Stores
119	2013-03-06 18:19:46	2013-03-07 15:23:57	2013-03-05	31389091	ROBERT ADAMS	ADAMS LANE EMBROIDERY	1556	ROCKFORD PL	CINCINNATI	45223	No	2013-02-27	Sewing Goods Stores
120	2013-03-06 18:19:40	2013-03-07 15:23:57	2013-03-05	31389092	TOSHUA NAPIER	N/A	602	MAIN ST SUITE 709A	CINCINNATI	45202	No	2013-02-28	Footwear Mfg
121	2013-03-06 18:18:55	2013-03-07 15:23:58	2013-03-05	31389093	Awwad Alwan	Linen Rugs and More	3036	W GALBRAITH RD	CINCINNATI	45239	No	2013-02-28	Floor Covering Stores
122	2013-03-06 18:18:48	2013-03-07 15:23:58	2013-03-05	31389094	ALEXI'S DUKES	BAYRU	5651	RIDGE AVE APT.#4	CINCINNATI	45213	No	2013-02-28	Family Clothing Stores
123	2013-03-06 18:18:39	2013-03-07 15:23:58	2013-03-05	31389095	GARANT 2000 LLC	GRAB & GO	11700	PRINCETON PK #E201	CINCINNATI	45246	No	2013-03-01	Convenience Stores
124	2013-03-06 18:18:24	2013-03-07 15:23:59	2013-03-05	31389096	K & M EXPRESS MART LLC	XPRESS MART	1646	VINE ST	CINCINNATI	45202	No	2013-03-01	Convenience Stores
125	2013-03-06 18:18:06	2013-03-07 15:23:59	2013-03-05	31801187	ROCK OHIO CAESARS CINCINNATI LLC	HORSESHOE CASINO CINCINNATI	1000	BROADWAY ST	CINCINNATI	45202	No	2013-01-30	Casino Hotels
126	2013-03-06 18:17:53	2013-03-07 15:23:59	2013-03-05	31801192	N And D Restaurants, Inc	Seasons 52 #4535	3819	EDWARDS RD	CINCINNATI	45209	No	2013-02-05	Full-Service Restaurants/Cafeterias
127	2013-03-06 18:17:44	2013-03-07 15:24:00	2013-03-05	31902931	Ameenah Muhammad	Pointblank Handbags	3983	YEARLING CT	CINCINNATI	45211	No	2013-02-08	Clothing Accessories Stores
