""\WCLIFFS`(?=/`)"";""\WCLIFFS`(?=\s`)"";""\WCLFS`(?=,`)"";""\WCLFS`(?=/`)"";""\WCLFS`(?=\s`)"";""\WCLIFFS`(?=,`)""	 Cliffs	3
""\WCLB`(?=\s`)"";""\WCLUB`(?=,`)"";""\WCLUB`(?=/`)"";""\WCLUB`(?=\s`)"";""\WCLB`(?=,`)"";""\WCLB`(?=/`)""	 Club	3
""\WCOMMON`(?=/`)"";""\WCOMMON`(?=\s`)"";""\WCMN`(?=,`)"";""\WCMN`(?=/`)"";""\WCMN`(?=\s`)"";""\WCOMMON`(?=,`)""	 Common	3
""\WCOR`(?=,`)"";""\WCOR`(?=/`)"";""\WCOR`(?=\s`)"";""\WCORNER`(?=,`)"";""\WCORNER`(?=/`)"";""\WCORNER`(?=\s`)""	 Corner	3
""\WCORS`(?=,`)"";""\WCORS`(?=/`)"";""\WCORS`(?=\s`)"";""\WCORNERS`(?=,`)"";""\WCORNERS`(?=/`)"";""\WCORNERS`(?=\s`)""	 Corners	3
""\WCRSE`(?=/`)"";""\WCRSE`(?=\s`)"";""\WCOURSE`(?=,`)"";""\WCOURSE`(?=/`)"";""\WCOURSE`(?=\s`)"";""\WCRSE`(?=,`)""	 Course	3
""\WCOURT`(?=,`)"";""\WCRT`(?=,`)"";""\WCOURT`(?=/`)"";""\WCRT`(?=/`)"";""\WCOURT`(?=\s`)"";""\WCRT`(?=\s`)""	 Court	3
""\WCOURTS`(?=/`)"";""\WCTS`(?=,`)"";""\WCOURTS`(?=\s`)"";""\WCTS`(?=/`)"";""\WCTS`(?=\s`)"";""\WCOURTS`(?=,`)""	 Courts	3
""\WCV`(?=/`)"";""\WCV`(?=\s`)"";""\WCOVE`(?=,`)"";""\WCOVE`(?=/`)"";""\WCOVE`(?=\s`)"";""\WCV`(?=,`)"";""\bCV\b"";	 Cove	3
""\WCVS`(?=,`)"";""\WCVS`(?=/`)"";""\WCVS`(?=\s`)"";""\WCOVES`(?=,`)"";""\WCOVES`(?=/`)"";""\WCOVES`(?=\s`)""	 Coves	3
""\WCRK`(?=\s`)"";""\WCR`(?=,`)"";""\WCR`(?=/`)"";""\WCREEK`(?=,`)"";""\WCR`(?=\s`)"";""\WCREEK`(?=/`)"";""\WCK`(?=,`)"";""\WCREEK`(?=\s`)"";""\WCK`(?=/`)"";""\WCK`(?=\s`)"";""\WCRK`(?=,`)"";""\WCRK`(?=/`)""	 Creek	3
""\WCRESCENT`(?=,`)"";""\WCRESCENT`(?=/`)"";""\WCRECENT`(?=,`)"";""\WCRESCENT`(?=\s`)"";""\WCRSENT`(?=,`)"";""\WCRECENT`(?=/`)"";""\WCRESENT`(?=,`)"";""\WCRSENT`(?=/`)"";""\WCRECENT`(?=\s`)"";""\WCRESENT`(?=/`)"";""\WCRSENT`(?=\s`)"";""\WCRESENT`(?=\s`)"";""\WCRSNT`(?=,`)"";""\WCRSNT`(?=/`)"";""\WCRSCNT`(?=,`)"";""\WCRSNT`(?=\s`)"";""\WCRES`(?=,`)"";""\WCRSCNT`(?=/`)"";""\WCRES`(?=/`)"";""\WCRSCNT`(?=\s`)"";""\WCRES`(?=\s`)"";""\bCR\b"";""\bCres\b""	 Crescent	3
""\WCRST`(?=,`)"";""\WCRST`(?=/`)"";""\WCRST`(?=\s`)"";""\WCREST`(?=,`)"";""\WCREST`(?=/`)"";""\WCREST`(?=\s`)""	 Crest	3
""\WCRSSING`(?=\s`)"";""\WXING`(?=/`)"";""\WCRSSNG`(?=,`)"";""\WCROSSING`(?=,`)"";""\WXING`(?=\s`)"";""\WCRSSNG`(?=/`)"";""\WCROSSING`(?=/`)"";""\WCRSSNG`(?=\s`)"";""\WCROSSING`(?=\s`)"";""\WCRSSING`(?=,`)"";""\WCRSSING`(?=/`)"";""\WXING`(?=,`)""	 Crossing	3
""\WXRD`(?=,`)"";""\WXRD`(?=/`)"";""\WCROSSROAD`(?=,`)"";""\WXRD`(?=\s`)"";""\WCROSSROAD`(?=/`)"";""\WCROSSROAD`(?=\s`)""	 Crossroad	3
""\WCURV`(?=,`)"";""\WCURV`(?=/`)"";""\WCURV`(?=\s`)"";""\WCURVE`(?=,`)"";""\WCURVE`(?=/`)"";""\WCURVE`(?=\s`)""	 Curve	3
""\WDL`(?=\s`)"";""\WDALE`(?=,`)"";""\WDALE`(?=/`)"";""\WDL`(?=,`)"";""\WDALE`(?=\s`)"";""\WDL`(?=/`)""	 Dale	3
""\WDAM`(?=,`)"";""\WDAM`(?=/`)"";""\WDM`(?=,`)"";""\WDAM`(?=\s`)"";""\WDM`(?=/`)"";""\WDM`(?=\s`)""	 Dam	3
""\WDV`(?=,`)"";""\WDV`(?=/`)"";""\WDV`(?=\s`)"";""\WDIV`(?=,`)"";""\WDVD`(?=,`)"";""\WDIV`(?=/`)"";""\WDVD`(?=/`)"";""\WDIV`(?=\s`)"";""\WDVD`(?=\s`)"";""\WDIVIDE`(?=,`)"";""\WDIVIDE`(?=/`)"";""\WDIVIDE`(?=\s`)""	 Divide	3
""\WDRIVE`(?=,`)"";""\WDRV`(?=\s`)"";""\WDRIVE`(?=/`)"";""\WDRIVE`(?=\s`)"";""\WDR`(?=,`)"";""\WDR`(?=/`)"";""\WDR`(?=\s`)"";""\WDRIV`(?=,`)"";""\WDRIV`(?=/`)"";""\WDRV`(?=,`)"";""\WDRIV`(?=\s`)"";""\WDRV`(?=/`)"";""\bDr\b.?"";""\bDrive\b.?""	 Drive	3
""\WDRIVES`(?=,`)"";""\WDRIVES`(?=/`)"";""\WDRIVES`(?=\s`)"";""\WDRS`(?=,`)"";""\WDRS`(?=/`)"";""\WDRS`(?=\s`)""	 Drives	3
""\WENT RAMP`(?=\s`)""	 entrance ramp 	1
""\WESTATE`(?=/`)"";""\WESTATE`(?=\s`)"";""\WEST`(?=,`)"";""\WEST`(?=/`)"";""\WEST`(?=\s`)"";""\WESTATE`(?=,`)""	 Estate	3
""\WESTATES`(?=,`)"";""\WESTATES`(?=/`)"";""\WESTATES`(?=\s`)"";""\WESTS`(?=,`)"";""\WESTS`(?=/`)"";""\WESTS`(?=\s`)""	 Estates	3
""\WEXP`(?=\s`)"";""\WEXPW`(?=/`)"";""\WEXPR`(?=,`)"";""\WEXPW`(?=\s`)"";""\WEXPR`(?=/`)"";""\WEXPY`(?=,`)"";""\WEXPR`(?=\s`)"";""\WEXPY`(?=/`)"";""\WEXPRESS`(?=,`)"";""\WEXPY`(?=\s`)"";""\WEXPRESS`(?=/`)"";""\WEXPRESS`(?=\s`)"";""\WEXPRESSWAY`(?=,`)"";""\WEXPRESSWAY`(?=/`)"";""\WEXP`(?=,`)"";""\WEXPRESSWAY`(?=\s`)"";""\WEXP`(?=/`)"";""\WEXPW`(?=,`)"";""\bexpy\b""	 Expressway	3
""\WEXTN`(?=,`)"";""\WEXTN`(?=/`)"";""\WEXT`(?=,`)"";""\WEXTN`(?=\s`)"";""\WEXT`(?=/`)"";""\WEXTNSN`(?=,`)"";""\WEXT`(?=\s`)"";""\WEXTNSN`(?=/`)"";""\WEXTENSION`(?=,`)"";""\WEXTNSN`(?=\s`)"";""\WEXTENSION`(?=/`)"";""\WEXTENSION`(?=\s`)""	 Extension	3
""\WEXTS`(?=/`)"";""\WEXTENSIONS`(?=,`)"";""\WEXTS`(?=\s`)"";""\WEXTENSIONS`(?=/`)"";""\WEXTENSIONS`(?=\s`)"";""\WEXTS`(?=,`)""	 Extensions	3
""\WFALL`(?=,`)"";""\WFALL`(?=/`)"";""\WFALL`(?=\s`)""	 Fall	3
""\WFALLS`(?=,`)"";""\WFALLS`(?=/`)"";""\WFALLS`(?=\s`)"";""\WFLS`(?=,`)"";""\WFLS`(?=/`)"";""\WFLS`(?=\s`)""	 Falls	3
""\WFRY`(?=,`)"";""\WFRY`(?=/`)"";""\WFRY`(?=\s`)"";""\WFRRY`(?=,`)"";""\WFRRY`(?=/`)"";""\WFERRY`(?=,`)"";""\WFRRY`(?=\s`)"";""\WFERRY`(?=/`)"";""\WFERRY`(?=\s`)""	 Ferry	3
""\WFIELD`(?=,`)"";""\WFIELD`(?=/`)"";""\WFLD`(?=,`)"";""\WFIELD`(?=\s`)"";""\WFLD`(?=/`)"";""\WFLD`(?=\s`)""	 Field	3
""\WFIELDS`(?=,`)"";""\WFIELDS`(?=/`)"";""\WFLDS`(?=,`)"";""\WFIELDS`(?=\s`)"";""\WFLDS`(?=/`)"";""\WFLDS`(?=\s`)""	 Fields	3
